adult,child
..a dog.. a dog that but today..,dog
you remember the car .,car
Just orange juice.,juice
♪ Too bad he gonna miss the girl,girl
this is the daddy .,daddy
how about a book ?,book
well let daddy get you some oatmeal .,daddy
daddy's home .,daddy
THE NIGHT MOTH WITH A CROOKED FEELER,night
"-I love you, baby.",baby
where's mommy ?,mommy
well are you gonna read the book or what .,book
Don't you want some more milk?,milk
here come back car .,car
- And Toe Blake.,toe
Open your eyes!,eyes
The girl is a rather small price to pay for that.,girl
the ball .,ball
Out of the car!,car
"- Wait, what does it mean?",wait
car yeah that's a kite ?,car
Well we'll go to bed and watch this.,bed
that's a ball .,ball
would you like to crawl into bed now please .,bed
ball .,ball
is that a bus or a station wagon ?,bus
look in the box .,box
you really like your truck don't you ?,truck
"- Hi, Luke.",hi
About a cat?,cat
- Our boat.,boat
that's not a dog pen ?,dog
Dog's looking at you.,dog
want to play ball ?,ball
Here's my phone.,phone
can mommy .,mommy
I ought to be on that boat.,boat
look what mommy and william have .,mommy
Just help me.,help
"Wait, wait.",wait
can mommy show you .,mommy
"girl-fondness, ""Maizie.""",girl
"Toast, guys.",toast
thank you big daddy ?,daddy
you don't want to see mommy ?,mommy
"overshadows his home, discovers that he needs something beyond",home
that's the baby nemo look how cute .,baby
- ( car alarm chirps ),car
Big Brother!,big
"- Hi, Daddy, we miss you.",hi
I'll jump!,jump
I never çağırmamıştın home.,home
Why don't you take him up a cup of tea?,cup
Well you'll have help me,help
This partying all night!,night
She's my baby.,baby
that's a clock .,clock
do you like the friendly bear ?,bear
- You toast it!,toast
let's draw daddy .,daddy
would you like some bread .,bread
"Wait up, wait up!",wait
It's all in your head.,head
she's gonna squish mommy instead .,mommy
It must be those eyes.,eyes
the baby she's sleeping chrissie ?,baby
"It's pouring rain, Ted.",rain
do you want cookie ?,cookie
The moon won't wait.,moon
"Look, I don't wear toe socks around town.",toe
wow huh is your fish swimming ?,fish
you don't want anybody picking you up by the hair .,hair
"Good night, Lynn.",night
Close your eyes.,eyes
um milk goes in it .,milk
daddy is gonna write with a pen .,daddy
Hand outs  every time!,hand
you can lay in bed .,bed
do you need help getting it ?,help
mommy is so comfortable .,mommy
To help them sleep.,help
Open up your mouth.,mouth
What a perfectly charming table arrangement.,table
"Yes, most likely by hand.",hand
silly that's not how you talk on the phone .,phone
dog .,dog
- Can it wait?,wait
that's the apple .,apple
4. The head of the apostle Andrew.,head
You could make a hot dog.,dog
Help me get her in.,help
let's use our nose and find things to smell .,nose
Have a baby boy!,baby
let's see if mommy can do that .,mommy
He's enjoying his break.,break
"Rock, rockin' Robin Tweet tweedle-dee-dee",rock
Snake eyes.,eyes
It's no good them grandma.,grandma
Or does the girl get the girl?,girl
I can get to the bus station by myself.,bus
"What do you like, the leg or the wing Henry?",leg
Little girl?,girl
Put it down Put the phone down,phone
He want's outside help.,help
that's a boat .,boat
her hand.,hand
no no their feed bowl .,feed
- Look out for the bus!,bus
The car comes.,car
You stay at home too much on days off!,home
Remember when you peed your pants in little league?,pants
so that your bed doesn't get all wet .,bed
this baby's .,baby
please don't talk baby talk to me !,baby
Now push!,push
me cookie ?,cookie
that's your eye .,eye
do you wan a book about a cat ?,book
Let's go downstairs and get a cookie.,cookie
'Is he at home?',home
And where would you drive your fastest car?,car
simpering smile.,smile
but no banana .,banana
With some hand lotion and the Internet?,hand
might help them?,help
and you're gonna put the tv in it ?,tv
you don't want mommy to choke .,mommy
- You're not a girl...?,girl
Do you want some milk James?,milk
And then it's juice.,juice
We'll help you.,help
yes great grandma ?,grandma
no mommy has to put on your socks wait a minute .,mommy
we need to cut your hair it's a mess .,hair
there's one foot ?,foot
Good night.,night
It's either a cat leg or a finger.,cat
okay the lion .,lion
mommy you don't know what i'm gonna make .,mommy
- So you're the rich girl.,girl
And what book is that?,book
- Mommy.,mommy
don't hold her by her hair .,hair
very good girl .,girl
"What's up, girl?",girl
- You don't see that truck...,truck
Today everything is different.,today
throw it to mommy .,mommy
on the bed.,bed
"Trust me, show your hand.",hand
yeah something in my eye .,eye
"must keep an eye on you, my lady.”",eye
I don't want to sale my car!,car
- Good night.,night
Daddy will help.,daddy
"- I need to put my head down, work harder.",head
Could be the short head.,head
okay go sit at the table ?,table
are you squishing it in your mouth ?,mouth
is that bread good .,bread
"Here, let me put on the radio.",radio
That's her car.,car
What hand?,hand
ball right ?,ball
oh this book .,book
oh you wanna look at mommy's ears .,mommy
"And half relent that, shrinking from a kiss,",kiss
"Hey, wait, wait, wait, I'm serious.",wait
put your hand .,hand
don't break it .,break
don't throw the block .,block
What about your car history?,car
The big apple is for uncle Jahan.,apple
don't jump on the couch .,couch
"Wait, wait!",wait
I'm just the dog.,dog
- I need you to access a phone.,phone
that a girl .,girl
well i can't sing .,sing
well i do and mommy does it sometimes .,mommy
where's the ball ?,ball
mommy likes fudge .,mommy
- hi.,hi
like mommy's cooking pots .,mommy
"Wait, stop.",wait
Make yourself at home.,home
It's late at night.,night
"- Oh, this is your car, right?",car
This is an antiquarian book.,book
My shoe come off.,shoe
i think it's my coat isn't it ?,coat
i wanna see this big girl too .,girl
pick up his ear on the floor .,ear
and so you have to keep it away from the baby .,baby
"Mm, you're testing me today aren't you!",today
"- Good night, Grace.",night
can you put it on mommy's finger ?,mommy
"Be a nice girl, now.",girl
"you'll be, you'll be at home before the",home
Just give him a dead eye.,eye
Leaving the boat?,boat
We don't want to hit that little bird.,bird
can you put it back in the box ?,box
how about this book ?,book
not in your mouth sweetie .,mouth
I see you both need help in this department.,help
Daddy does those things to Mommy.,daddy
this doesn't hurt though does it .,hurt
next to the bird okay .,bird
a cookie says hilda ?,cookie
- How's my mom?,how
can you give mommy the tracks ?,mommy
do you remember where your right hand is ?,hand
a radio ?,radio
a baby chicken .,baby
"Oh, in a box.",box
"""The eyes express the said, and the unsaid.""",eyes
there's the star !,star
- It hurt.,hurt
- She's just a little girl.,girl
moon ?,moon
You want another cup of coffee?,cup
smile .,smile
don't push it okay .,push
this is not an outside truck either there buddy .,truck
let daddy start a bath .,daddy
- In my right-hand pocket.,hand
he's not a fish ?,fish
she's going to get the hot juice .,juice
WATCH OUT!,out
know at night when you see the big airplanes coming in ?,night
yeah that's girl too ?,girl
What's Today?,today
Not going to bus stop tonight as well.,bus
do you want the ball ?,ball
apple ?,apple
you want some help .,help
okay and here's a light ?,light
